id;user_id;sms_enabled;email_enabled;push_enabled;muted_types;language;updated_at
1;premeditation whoa oxygenate;false;true;false;tempting while traffic;puny;2025-11-25T04:45:17
2;bossy gah premier;false;true;false;vibrant thankfully which;earth;2025-11-24T22:33:29
3;jet frenetically oof;false;false;false;boohoo prohibition enraged;furthermore snack failing;2025-11-25T01:26:32
4;upwardly but valuable;true;false;false;muffled;since;2025-11-24T20:27:05
5;footrest during but;true;false;false;unlucky if how;exempt dearly aw;2025-11-25T04:17:12
6;cook ick;true;true;true;woot mid;emboss;2025-11-25T05:58:38
7;off;false;false;false;beneath typewriter;boo;2025-11-24T15:54:36
8;silk whereas;true;true;true;jogging aha questionably;outset zowie;2025-11-25T10:23:10
9;though consistency versus;true;true;false;whoever inasmuch so;spectacles;2025-11-25T13:12:59
10;inventory earnest;false;true;true;calmly;tenement brief incidentally;2025-11-25T01:55:40
