id;transaction_id;sender_account;receiver_account;amount;type;timestamp;additional_data
1;except;excluding annually;gasp;30920.96;SEND;2025-11-25T03:10:18;pace um
2;regular;rigidly afford;anxiously low;26520.7;RECEIVE;2025-11-25T04:59:10;junior
3;certainly;pfft colonialism;triumphantly really institute;11826.78;RECEIVE;2025-11-25T01:33:32;whoa
4;upset kinase yet;notwithstanding pacemaker psst;wearily gee;12546.29;SEND;2025-11-25T01:52:16;oof pfft
5;consequently;lest roughly;why feminize courageously;28595.74;WITHDRAWAL;2025-11-25T09:47:07;meh
6;etch aw satirise;huzzah until;jam-packed retract;9690.49;DEPOSIT;2025-11-25T08:27:17;rationale phew
7;whose;tenderly by;free underneath how;19589.29;SEND;2025-11-24T14:34:12;beside supposing
8;incinerate lasting bulky;soon till;finally excepting;31893.13;WITHDRAWAL;2025-11-24T14:35:00;mostly but oh
9;wire;cluttered yuck physically;sham soon needily;29095.97;RECEIVE;2025-11-25T03:31:35;partial
10;cruelly certainly hm;daily pfft;tragic rundown;21736.89;DEPOSIT;2025-11-25T07:01:57;sunbathe hose between
